game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
apology,decision,5,52.541542053222656,6.736973036969356,7.798983573913574,100,100,1.0,dollars transferred,50.4,5.108914767444266,49.38628047142269,51.41371952857731,0.99,0.9455138038212946,0.9982325679358593,0.0,0.01,25.169999999999998,1.8328329228542236e-13,0.59,True,0.0
apology,shuffled-null,-5,-52.541542053222656,-47.27378268645267,1.1114308834075928,100,86,0.86,dollars transferred,46.19767441860465,13.939212373260812,43.20910111998067,49.186247717228625,0.8255813953488372,0.7319679420486398,0.891352301579249,0.023255813953488372,0.1511627906976744,20.96767441860465,2.486650259271763e-09,0.4255813953488372,True,0.01
apology,shuffled-null,0,0.0,0.0,1.1114308834075928,100,100,1.0,dollars transferred,25.23,29.36331284807865,19.403681689210682,31.05631831078932,0.4,0.3094012864324589,0.4979974132089382,0.47,0.13,0.0,1.0,0.0,False,0.04
apology,shuffled-null,5,52.541542053222656,47.27378268645267,1.1114308834075928,100,96,0.96,dollars transferred,18.75,39.23612728354477,10.800021714438646,26.699978285561354,0.1875,0.12202469989311636,0.27702254251793096,0.8125,0.0,-6.48,0.19361477663812487,-0.21250000000000002,True,0.53
dictator,decision,-5,-52.541542053222656,-7.59089954015466,6.921648979187012,100,100,1.0,dollars given,0.5,5.0,-0.4921084757932137,1.4921084757932137,0.01,0.0017674320641406505,0.054486196178705315,0.99,0.0,-10.89,9.095670100059095e-08,-0.13,True,0.44
dictator,decision,-4,-42.033233642578125,-6.072719632123728,6.921648979187012,100,98,0.98,dollars given,3.061224489795918,17.31504103107606,-0.4102216416692821,6.5326706212611185,0.030612244897959183,0.010464891082493703,0.0861702016847983,0.9693877551020408,0.0,-8.328775510204082,0.0012247277591045864,-0.10938775510204082,True,0.25
dictator,decision,-3,-31.524925231933594,-4.554539724092796,6.921648979187012,100,100,1.0,dollars given,4.0,19.69463855669324,0.0921564320441628,7.907843567955837,0.04,0.01566330399154762,0.0983707143588792,0.96,0.0,-7.390000000000001,0.0066680308530665386,-0.1,True,0.2
dictator,decision,-2,-21.016616821289062,-3.036359816061864,6.921648979187012,100,98,0.98,dollars given,1.0204081632653061,10.101525445522103,-1.0048195775652753,3.045635904095888,0.01020408163265306,0.0018035477567974675,0.055554809913420274,0.9897959183673469,0.0,-10.369591836734694,2.1111751039709e-06,-0.12979591836734694,True,0.2
dictator,decision,-1,-10.508308410644531,-1.518179908030932,6.921648979187012,100,100,1.0,dollars given,3.0,17.144660799776528,-0.4018726588115902,6.40187265881159,0.03,0.010254524024038925,0.0845193642905276,0.97,0.0,-8.39,0.0010147083714707786,-0.11000000000000001,True,0.22
dictator,decision,0,0.0,0.0,6.921648979187012,100,100,1.0,dollars given,11.39,18.397351039009,7.739566420411217,15.040433579588784,0.14,0.08526343659939134,0.22137188210963837,0.68,0.18,0.0,1.0,0.0,False,0.17
