family,game_id,arm,k,unit_beta,raw_beta_equivalent,vector,vector_sha256_16,vector_layer_norm,rows_csv,n_rows
overfishing,altruism_v3/overfishing,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_overfishing_response_avg_diff_cellbalanced_strict_seed20260821.pt,deddaef033b3747c,1.4864208698272705,overfishing/shuffled-null/altruism_v3-overfishing_free_layer20_all_unit_coef0.csv,100
overfishing,altruism_v3/overfishing,shuffled-null,5,52.541542053222656,35.3476886121279,results/crossgame-per-game-steering/vectors/null_overfishing_response_avg_diff_cellbalanced_strict_seed20260821.pt,deddaef033b3747c,1.4864208698272705,overfishing/shuffled-null/altruism_v3-overfishing_free_layer20_all_unit_coef52.5415.csv,100
overfishing,altruism_v3/overfishing,shuffled-null,-5,-52.541542053222656,-35.3476886121279,results/crossgame-per-game-steering/vectors/null_overfishing_response_avg_diff_cellbalanced_strict_seed20260821.pt,deddaef033b3747c,1.4864208698272705,overfishing/shuffled-null/altruism_v3-overfishing_free_layer20_all_unit_coef-52.5415.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef0.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,1,10.508308410644531,1.2411032058532598,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef10.5083.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,-1,-10.508308410644531,-1.2411032058532598,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-10.5083.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,2,21.016616821289062,2.4822064117065197,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef21.0166.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,-2,-21.016616821289062,-2.4822064117065197,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-21.0166.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,3,31.524925231933594,3.7233096175597797,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef31.5249.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,-3,-31.524925231933594,-3.7233096175597797,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-31.5249.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,4,42.033233642578125,4.964412823413039,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef42.0332.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,-4,-42.033233642578125,-4.964412823413039,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-42.0332.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,5,52.541542053222656,6.205516029266299,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef52.5415.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,decision,-5,-52.541542053222656,-6.205516029266299,results/crossgame-decision-vectors/vectors/decision_prisoners_dilemma_response_avg_diff_cellbalanced_strict.pt,716251c82d41031e,8.466909408569336,prisoners_dilemma/decision/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-52.5415.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_prisoners_dilemma_response_avg_diff_cellbalanced_strict_seed20260821.pt,057492a94069e3f0,2.544945001602173,prisoners_dilemma/shuffled-null/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef0.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,shuffled-null,5,52.541542053222656,20.645452856602038,results/crossgame-per-game-steering/vectors/null_prisoners_dilemma_response_avg_diff_cellbalanced_strict_seed20260821.pt,057492a94069e3f0,2.544945001602173,prisoners_dilemma/shuffled-null/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef52.5415.csv,100
prisoners_dilemma,altruism_v3/prisoners_dilemma,shuffled-null,-5,-52.541542053222656,-20.645452856602038,results/crossgame-per-game-steering/vectors/null_prisoners_dilemma_response_avg_diff_cellbalanced_strict_seed20260821.pt,057492a94069e3f0,2.544945001602173,prisoners_dilemma/shuffled-null/altruism_v3-prisoners_dilemma_free_layer20_all_unit_coef-52.5415.csv,100
